chromosome	start	stop	gap_length	gap_type	linkage_evidence
chr1	1	10000	10000	telomere	na
chr1	177418	227417	50000	within_scaffold	clone_contig
chr1	267720	317719	50000	between_scaffolds	na
chr1	471369	521368	50000	between_scaffolds	na
chr1	2634221	2684220	50000	within_scaffold	clone_contig
chr1	3845269	3995268	150000	between_scaffolds	na
chr1	13052999	13102998	50000	within_scaffold	clone_contig
chr1	13219913	13319912	100000	between_scaffolds	na
chr1	13557163	13607162	50000	within_scaffold	clone_contig
chr1	17125659	17175658	50000	within_scaffold	clone_contig
chr1	29878083	30028082	150000	between_scaffolds	na
chr1	103863907	103913906	50000	within_scaffold	clone_contig
chr1	120697157	120747156	50000	within_scaffold	clone_contig
chr1	120936696	121086695	150000	between_scaffolds	na
chr1	121485435	121535434	50000	between_scaffolds	na
chr1	121535435	124535434	3000000	centromere	na
chr1	124535435	142535434	18000000	heterochromatin	na
chr1	142731023	142781022	50000	within_scaffold	clone_contig
chr1	142967762	143117761	150000	between_scaffolds	na
chr1	143292817	143342816	50000	within_scaffold	clone_contig
chr1	143544526	143644525	100000	between_scaffolds	na
chr1	143771003	143871002	100000	between_scaffolds	na
chr1	144095784	144145783	50000	between_scaffolds	na
chr1	144224482	144274481	50000	between_scaffolds	na
chr1	144401745	144451744	50000	within_scaffold	clone_contig
chr1	144622414	144672413	50000	between_scaffolds	na
chr1	144710725	144810724	100000	within_scaffold	clone_contig
chr1	145833119	145883118	50000	within_scaffold	clone_contig
chr1	146164651	146214650	50000	within_scaffold	clone_contig
chr1	146253300	146303299	50000	within_scaffold	clone_contig
chr1	148026039	148176038	150000	between_scaffolds	na
chr1	148361359	148511358	150000	between_scaffolds	na
chr1	148684148	148734147	50000	within_scaffold	clone_contig
chr1	148954461	149004460	50000	within_scaffold	clone_contig
chr1	149459646	149509645	50000	within_scaffold	clone_contig
chr1	205922708	206072707	150000	between_scaffolds	na
chr1	206332222	206482221	150000	between_scaffolds	na
chr1	223747847	223797846	50000	within_scaffold	clone_contig
chr1	235192212	235242211	50000	within_scaffold	clone_contig
chr1	248908211	249058210	150000	between_scaffolds	na
chr1	249240622	249250621	10000	telomere	na
chr2	1	10000	10000	telomere	na
chr2	3529313	3579312	50000	between_scaffolds	na
chr2	5018789	5118788	100000	between_scaffolds	na
chr2	16279725	16329724	50000	between_scaffolds	na
chr2	21153114	21178113	25000	between_scaffolds	na
chr2	31725940	31726790	851	unknown	inferred_from_sequence
chr2	33092198	33093197	1000	unknown	inferred_from_sequence
chr2	33141693	33142692	1000	unknown	inferred_from_sequence
chr2	87668207	87718206	50000	within_scaffold	clone_contig
chr2	89630437	89830436	200000	between_scaffolds	na
chr2	90321526	90371525	50000	within_scaffold	clone_contig
chr2	90545104	91545103	1000000	heterochromatin	na
chr2	91545104	91595103	50000	between_scaffolds	na
chr2	92326172	95326171	3000000	centromere	na
chr2	110109338	110251337	142000	between_scaffolds	na
chr2	149690583	149790582	100000	between_scaffolds	na
